DEFICIENT,SATISFIED,BLOATED,COMMUNITY,SALARY,TIMES_TRADED,INTROVERSION
1,8,1,4,25.4921,5446,1
2,7,1,9,55.0655,12978,1
0,9,1,5,31.6986,14089,1
3,6,1,3,17.6837,13436,1
9,1,0,8,15.6967,11251,1
5,5,0,6,22.4959,14005,1
6,3,1,9,25.3504,7816,1
4,5,1,0,41.5014,5782,1
2,7,1,6,23.8993,11498,1
1,8,1,7,40.0881,8457,1
2,7,1,3,26.0086,8447,1
5,4,1,7,27.332,7966,2
6,3,1,2,52.7963,13687,2
3,6,1,4,32.3771,13986,2
0,9,1,1,39.0224,9535,2
4,5,1,8,44.0521,5857,2
3,6,1,1,54.8477,13269,2
1,8,1,0,32.0687,9743,2
3,6,1,7,34.0245,7718,2
1,8,1,6,57.4944,10397,2
10,0,0,7,10.9275,5779,2
3,6,1,0,42.1582,9168,2
1,8,1,5,38.1496,12214,2
2,7,1,5,33.215,5030,2
5,4,1,2,32.6296,6697,2
2,7,1,4,52.5303,9504,2
5,4,1,6,17.8636,11043,2
10,0,0,0,0.118497,8032,2
2,7,1,4,27.8463,6916,2
4,5,1,5,23.4595,8431,2
4,5,1,4,44.9275,7877,2
0,9,1,1,50.492,10702,2
6,3,1,1,17.0499,7796,2
7,2,1,6,41.7724,5819,2
3,6,1,8,49.1161,12717,2
3,6,1,1,23.5342,10960,2
4,5,1,8,55.157,4620,2
1,8,1,6,33.5221,13403,2
2,7,1,5,59.5602,13550,2
3,6,1,3,31.9636,10904,2
4,5,1,0,31.7659,12404,2
3,6,1,8,56.407,13383,2
2,7,1,3,50.3165,5540,2
4,5,1,3,44.7355,7829,2
5,4,1,4,41.5373,7993,2
7,2,1,0,40.8269,5529,2
2,7,1,8,27.2196,12566,2
5,4,1,4,35.545,5927,2
2,7,1,6,30.9587,5404,2
5,4,1,5,37.0143,10110,2
4,5,1,5,56.0989,9775,2
5,4,1,5,41.3091,5635,2
3,6,1,0,40.706,7642,2
0,9,1,4,37.6026,12260,2
7,2,1,4,50.415,7463,2
1,8,1,7,34.854,12830,2
3,6,1,9,38.8241,7044,2
2,7,1,5,21.3407,12827,2
1,8,1,8,28.7644,8672,2
3,6,1,4,16.3513,11564,2
1,8,1,2,32.9933,8235,2
3,6,1,2,43.2957,9286,2
4,5,1,3,59.6694,9040,2
8,1,1,5,44.7818,7164,2
8,2,0,6,16.0581,13374,2
3,6,1,1,18.5907,5450,2
4,5,1,3,40.2876,9096,2
2,7,1,3,36.1259,9967,2
4,5,1,8,61.1725,4872,2
4,5,1,8,52.5445,10611,2
8,1,1,6,17.5169,4971,2
4,5,1,3,31.6769,6404,2
7,2,1,2,23.1998,6682,2
3,6,1,5,42.7668,5039,2
2,7,1,1,28.2023,14238,2
5,4,1,4,26.6816,6513,2
7,2,1,8,34.7399,6805,2
3,6,1,6,70.2226,13191,2
3,6,1,2,49.3274,12992,2
7,2,1,7,37.6376,4667,2
3,6,1,4,31.5905,5930,2
3,6,1,3,30.7117,7006,2
8,2,0,7,7.89192,4671,2
3,6,1,1,47.2191,9287,2
1,8,1,5,51.2756,14269,2
3,6,1,7,58.4169,8865,2
4,5,1,1,28.9999,7155,2
5,5,0,8,20.5868,6108,2
2,8,0,4,21.7266,9801,2
2,7,1,1,45.6296,11523,2
0,9,1,8,61.3272,14490,2
6,4,0,0,15.288,8834,2
0,9,1,9,48.5884,10733,2
3,6,1,4,19.1491,10553,2
5,4,1,9,35.0848,10836,2
6,3,1,0,53.0782,13529,2
4,5,1,1,27.813,9878,2
3,6,1,5,43.5733,9987,2
5,4,1,5,10.9935,6788,2
0,9,1,8,52.0414,11079,2
2,7,1,4,25.4921,5433,2
2,7,1,9,55.0655,12988,2
0,9,1,5,31.6986,14100,2
3,6,1,3,17.6837,13425,2
9,1,0,8,15.6967,11240,2
5,5,0,6,22.4959,14013,2
6,3,1,9,25.3504,7825,2
4,5,1,0,41.5014,5766,2
2,7,1,6,23.8993,11498,2
1,8,1,7,40.0881,8446,2
2,7,1,3,26.0086,8448,2
4,5,1,7,27.332,7956,3
5,4,1,2,52.7963,13684,3
2,7,1,4,32.3771,13994,3
0,9,1,1,39.0224,9532,3
4,5,1,8,44.0521,5842,3
3,6,1,1,54.8477,13279,3
1,8,1,0,32.0687,9754,3
3,6,1,7,34.0245,7702,3
1,8,1,6,57.4944,10408,3
10,0,0,7,10.9275,5775,3
3,6,1,0,42.1582,9149,3
1,8,1,5,38.1496,12208,3
2,7,1,5,33.215,5030,3
4,5,1,2,32.6296,6705,3
2,7,1,4,52.5303,9500,3
5,4,1,6,17.8636,11060,3
10,0,0,0,0.118497,8019,3
2,7,1,4,27.8463,6901,3
4,5,1,5,23.4595,8442,3
4,5,1,4,44.9275,7881,3
1,8,1,1,50.492,10700,3
6,3,1,1,17.0499,7813,3
5,4,1,6,41.7724,5836,3
4,5,1,8,49.1161,12700,3
2,7,1,1,23.5342,10959,3
4,5,1,8,55.157,4642,3
1,8,1,6,33.5221,13412,3
2,7,1,5,59.5602,13540,3
3,6,1,3,31.9636,10882,3
5,4,1,0,31.7659,12375,3
1,8,1,8,56.407,13377,3
1,8,1,3,50.3165,5542,3
4,5,1,3,44.7355,7819,3
5,4,1,4,41.5373,7990,3
7,2,1,0,40.8269,5510,3
2,7,1,8,27.2196,12560,3
4,5,1,4,35.545,5933,3
2,7,1,6,30.9587,5421,3
5,4,1,5,37.0143,10118,3
4,5,1,5,56.0989,9783,3
5,4,1,5,41.3091,5643,3
3,6,1,0,40.706,7647,3
0,9,1,4,37.6026,12257,3
6,3,1,4,50.415,7470,3
1,8,1,7,34.854,12804,3
3,6,1,9,38.8241,7048,3
2,7,1,5,21.3407,12838,3
1,8,1,8,28.7644,8680,3
3,6,1,4,16.3513,11553,3
1,8,1,2,32.9933,8228,3
3,6,1,2,43.2957,9284,3
4,5,1,3,59.6694,9042,3
6,3,1,5,44.7818,7170,3
8,2,0,6,16.0581,13382,3
3,6,1,1,18.5907,5456,3
4,5,1,3,40.2876,9083,3
2,7,1,3,36.1259,9954,3
3,6,1,8,61.1725,4883,3
4,5,1,8,52.5445,10602,3
7,2,1,6,17.5169,4975,3
3,6,1,3,31.6769,6406,3
5,4,1,2,23.1998,6686,3
3,6,1,5,42.7668,5056,3
2,7,1,1,28.2023,14245,3
4,5,1,4,26.6816,6507,3
5,4,1,8,34.7399,6803,3
3,6,1,6,70.2226,13199,3
3,6,1,2,49.3274,12991,3
6,3,1,7,37.6376,4656,3
3,6,1,4,31.5905,5941,3
3,6,1,3,30.7117,7014,3
9,1,0,7,7.89192,4648,3
3,6,1,1,47.2191,9301,3
1,8,1,5,51.2756,14281,3
3,6,1,7,58.4169,8837,3
4,5,1,1,28.9999,7181,3
4,6,0,8,20.5868,6112,3
2,8,0,4,21.7266,9796,3
2,7,1,1,45.6296,11542,3
0,9,1,8,61.3272,14496,3
6,4,0,0,15.288,8835,3
0,9,1,9,48.5884,10742,3
3,6,1,4,19.1491,10554,3
4,5,1,9,35.0848,10828,3
5,4,1,0,53.0782,13511,3
3,6,1,1,27.813,9882,3
0,9,1,5,43.5733,10002,3
5,4,1,5,10.9935,6791,3
0,9,1,8,52.0414,11074,3
2,7,1,4,25.4921,5432,3
2,7,1,9,55.0655,13005,3
0,9,1,5,31.6986,14095,3
3,6,1,3,17.6837,13433,3
9,1,0,8,15.6967,11231,3
5,5,0,6,22.4959,14007,3
6,3,1,9,25.3504,7832,3
4,5,1,0,41.5014,5767,3
2,7,1,6,23.8993,11512,3
1,8,1,7,40.0881,8421,3
2,7,1,3,26.0086,8434,3
3,6,1,7,27.332,7933,4
4,5,1,2,52.7963,13687,4
2,7,1,4,32.3771,14006,4
0,9,1,1,39.0224,9549,4
5,4,1,8,44.0521,5850,4
3,6,1,1,54.8477,13285,4
1,8,1,0,32.0687,9753,4
2,7,1,7,34.0245,7680,4
1,8,1,6,57.4944,10409,4
10,0,0,7,10.9275,5754,4
3,6,1,0,42.1582,9146,4
1,8,1,5,38.1496,12204,4
2,7,1,5,33.215,5026,4
4,5,1,2,32.6296,6709,4
2,7,1,4,52.5303,9489,4
5,4,1,6,17.8636,11060,4
10,0,0,0,0.118497,8021,4
1,8,1,4,27.8463,6906,4
4,5,1,5,23.4595,8450,4
3,6,1,4,44.9275,7884,4
0,9,1,1,50.492,10723,4
5,4,1,1,17.0499,7829,4
5,4,1,6,41.7724,5854,4
3,6,1,8,49.1161,12690,4
2,7,1,1,23.5342,10966,4
4,5,1,8,55.157,4645,4
1,8,1,6,33.5221,13419,4
2,7,1,5,59.5602,13541,4
3,6,1,3,31.9636,10855,4
5,4,1,0,31.7659,12375,4
1,8,1,8,56.407,13363,4
2,7,1,3,50.3165,5538,4
4,5,1,3,44.7355,7808,4
5,4,1,4,41.5373,8000,4
6,3,1,0,40.8269,5530,4
2,7,1,8,27.2196,12568,4
5,4,1,4,35.545,5936,4
3,6,1,6,30.9587,5434,4
5,4,1,5,37.0143,10108,4
4,5,1,5,56.0989,9791,4
4,5,1,5,41.3091,5651,4
3,6,1,0,40.706,7645,4
0,9,1,4,37.6026,12247,4
6,3,1,4,50.415,7460,4
1,8,1,7,34.854,12778,4
4,5,1,9,38.8241,7069,4
2,7,1,5,21.3407,12848,4
1,8,1,8,28.7644,8682,4
5,4,1,4,16.3513,11538,4
1,8,1,2,32.9933,8238,4
3,6,1,2,43.2957,9293,4
4,5,1,3,59.6694,9038,4
6,3,1,5,44.7818,7168,4
8,2,0,6,16.0581,13372,4
3,6,1,1,18.5907,5469,4
4,5,1,3,40.2876,9056,4
2,7,1,3,36.1259,9953,4
4,5,1,8,61.1725,4870,4
4,5,1,8,52.5445,10618,4
8,1,1,6,17.5169,4999,4
5,4,1,3,31.6769,6405,4
7,2,1,2,23.1998,6689,4
3,6,1,5,42.7668,5065,4
2,7,1,1,28.2023,14260,4
3,6,1,4,26.6816,6501,4
4,5,1,8,34.7399,6797,4
2,7,1,6,70.2226,13206,4
3,6,1,2,49.3274,12985,4
7,2,1,7,37.6376,4625,4
3,6,1,4,31.5905,5933,4
3,6,1,3,30.7117,7010,4
9,1,0,7,7.89192,4622,4
3,6,1,1,47.2191,9317,4
1,8,1,5,51.2756,14280,4
3,6,1,7,58.4169,8837,4
4,5,1,1,28.9999,7168,4
4,6,0,8,20.5868,6120,4
3,7,0,4,21.7266,9786,4
2,7,1,1,45.6296,11545,4
0,9,1,8,61.3272,14495,4
7,3,0,0,15.288,8843,4
0,9,1,9,48.5884,10745,4
3,6,1,4,19.1491,10566,4
4,5,1,9,35.0848,10821,4
6,3,1,0,53.0782,13507,4
4,5,1,1,27.813,9900,4
2,7,1,5,43.5733,10002,4
6,3,1,5,10.9935,6798,4
0,9,1,8,52.0414,11074,4
1,8,1,4,25.4921,5415,4
2,7,1,9,55.0655,13012,4
0,9,1,5,31.6986,14106,4
3,6,1,3,17.6837,13424,4
8,2,0,8,15.6967,11216,4
5,5,0,6,22.4959,14001,4
4,5,1,9,25.3504,7834,4
4,5,1,0,41.5014,5757,4
2,7,1,6,23.8993,11546,4
1,8,1,7,40.0881,8401,4
2,7,1,3,26.0086,8438,4
4,5,1,7,27.332,7927,5
4,5,1,2,52.7963,13678,5
3,6,1,4,32.3771,14015,5
0,9,1,1,39.0224,9558,5
4,5,1,8,44.0521,5855,5
3,6,1,1,54.8477,13300,5
1,8,1,0,32.0687,9745,5
3,6,1,7,34.0245,7658,5
1,8,1,6,57.4944,10414,5
10,0,0,7,10.9275,5740,5
3,6,1,0,42.1582,9149,5
1,8,1,5,38.1496,12211,5
2,7,1,5,33.215,5031,5
4,5,1,2,32.6296,6699,5
2,7,1,4,52.5303,9491,5
5,4,1,6,17.8636,11073,5
10,0,0,0,0.118497,8017,5
2,7,1,4,27.8463,6894,5
4,5,1,5,23.4595,8446,5
4,5,1,4,44.9275,7876,5
0,9,1,1,50.492,10738,5
5,4,1,1,17.0499,7838,5
5,4,1,6,41.7724,5873,5
3,6,1,8,49.1161,12703,5
2,7,1,1,23.5342,10970,5
4,5,1,8,55.157,4652,5
1,8,1,6,33.5221,13420,5
2,7,1,5,59.5602,13540,5
3,6,1,3,31.9636,10850,5
4,5,1,0,31.7659,12377,5
2,7,1,8,56.407,13360,5
2,7,1,3,50.3165,5532,5
4,5,1,3,44.7355,7792,5
6,3,1,4,41.5373,7979,5
6,3,1,0,40.8269,5522,5
2,7,1,8,27.2196,12567,5
5,4,1,4,35.545,5917,5
3,6,1,6,30.9587,5459,5
5,4,1,5,37.0143,10106,5
4,5,1,5,56.0989,9796,5
4,5,1,5,41.3091,5657,5
3,6,1,0,40.706,7644,5
0,9,1,4,37.6026,12247,5
5,4,1,4,50.415,7449,5
1,8,1,7,34.854,12775,5
6,3,1,9,38.8241,7062,5
2,7,1,5,21.3407,12841,5
1,8,1,8,28.7644,8685,5
3,6,1,4,16.3513,11531,5
1,8,1,2,32.9933,8250,5
3,6,1,2,43.2957,9301,5
4,5,1,3,59.6694,9028,5
8,1,1,5,44.7818,7172,5
8,2,0,6,16.0581,13373,5
3,6,1,1,18.5907,5466,5
4,5,1,3,40.2876,9059,5
2,7,1,3,36.1259,9949,5
3,6,1,8,61.1725,4887,5
4,5,1,8,52.5445,10625,5
8,1,1,6,17.5169,5013,5
5,4,1,3,31.6769,6364,5
5,4,1,2,23.1998,6693,5
3,6,1,5,42.7668,5071,5
2,7,1,1,28.2023,14272,5
4,5,1,4,26.6816,6485,5
7,2,1,8,34.7399,6803,5
3,6,1,6,70.2226,13206,5
3,6,1,2,49.3274,12999,5
8,1,1,7,37.6376,4629,5
3,6,1,4,31.5905,5927,5
3,6,1,3,30.7117,7005,5
9,1,0,7,7.89192,4612,5
3,6,1,1,47.2191,9313,5
1,8,1,5,51.2756,14284,5
3,6,1,7,58.4169,8818,5
4,5,1,1,28.9999,7177,5
5,5,0,8,20.5868,6128,5
2,8,0,4,21.7266,9783,5
2,7,1,1,45.6296,11559,5
0,9,1,8,61.3272,14499,5
6,4,0,0,15.288,8819,5
0,9,1,9,48.5884,10761,5
4,5,1,4,19.1491,10560,5
5,4,1,9,35.0848,10805,5
5,4,1,0,53.0782,13502,5
3,6,1,1,27.813,9909,5
0,9,1,5,43.5733,10008,5
5,4,1,5,10.9935,6823,5
0,9,1,8,52.0414,11081,5
0,9,1,4,25.4921,5404,5
2,7,1,9,55.0655,13031,5
0,9,1,5,31.6986,14112,5
3,6,1,3,17.6837,13422,5
8,2,0,8,15.6967,11212,5
5,5,0,6,22.4959,14006,5
6,3,1,9,25.3504,7840,5
4,5,1,0,41.5014,5759,5
2,7,1,6,23.8993,11558,5
1,8,1,7,40.0881,8369,5
2,7,1,3,26.0086,8428,5
3,6,1,7,27.332,7927,6
4,5,1,2,52.7963,13686,6
2,7,1,4,32.3771,14019,6
0,9,1,1,39.0224,9573,6
4,5,1,8,44.0521,5861,6
3,6,1,1,54.8477,13309,6
1,8,1,0,32.0687,9739,6
2,7,1,7,34.0245,7629,6
1,8,1,6,57.4944,10419,6
10,0,0,7,10.9275,5722,6
3,6,1,0,42.1582,9132,6
1,8,1,5,38.1496,12205,6
2,7,1,5,33.215,5048,6
4,5,1,2,32.6296,6697,6
2,7,1,4,52.5303,9491,6
5,4,1,6,17.8636,11090,6
10,0,0,0,0.118497,8022,6
1,8,1,4,27.8463,6890,6
4,5,1,5,23.4595,8464,6
3,6,1,4,44.9275,7888,6
1,8,1,1,50.492,10750,6
5,4,1,1,17.0499,7833,6
5,4,1,6,41.7724,5880,6
3,6,1,8,49.1161,12709,6
4,5,1,1,23.5342,10970,6
4,5,1,8,55.157,4660,6
1,8,1,6,33.5221,13433,6
2,7,1,5,59.5602,13529,6
3,6,1,3,31.9636,10833,6
4,5,1,0,31.7659,12374,6
1,8,1,8,56.407,13356,6
1,8,1,3,50.3165,5532,6
4,5,1,3,44.7355,7785,6
5,4,1,4,41.5373,7955,6
6,3,1,0,40.8269,5510,6
2,7,1,8,27.2196,12571,6
3,6,1,4,35.545,5908,6
2,7,1,6,30.9587,5465,6
5,4,1,5,37.0143,10118,6
5,4,1,5,56.0989,9815,6
6,3,1,5,41.3091,5665,6
3,6,1,0,40.706,7624,6
0,9,1,4,37.6026,12245,6
5,4,1,4,50.415,7437,6
1,8,1,7,34.854,12770,6
3,6,1,9,38.8241,7057,6
2,7,1,5,21.3407,12859,6
1,8,1,8,28.7644,8694,6
3,6,1,4,16.3513,11534,6
1,8,1,2,32.9933,8249,6
3,6,1,2,43.2957,9317,6
4,5,1,3,59.6694,9021,6
7,2,1,5,44.7818,7166,6
8,2,0,6,16.0581,13371,6
3,6,1,1,18.5907,5493,6
3,6,1,3,40.2876,9061,6
2,7,1,3,36.1259,9949,6
3,6,1,8,61.1725,4875,6
4,5,1,8,52.5445,10635,6
7,2,1,6,17.5169,5028,6
3,6,1,3,31.6769,6355,6
5,4,1,2,23.1998,6702,6
3,6,1,5,42.7668,5079,6
3,6,1,1,28.2023,14292,6
5,4,1,4,26.6816,6495,6
7,2,1,8,34.7399,6798,6
3,6,1,6,70.2226,13200,6
3,6,1,2,49.3274,12998,6
6,3,1,7,37.6376,4611,6
3,6,1,4,31.5905,5907,6
3,6,1,3,30.7117,6991,6
9,1,0,7,7.89192,4601,6
3,6,1,1,47.2191,9317,6
1,8,1,5,51.2756,14286,6
2,7,1,7,58.4169,8807,6
5,4,1,1,28.9999,7191,6
7,3,0,8,20.5868,6126,6
2,7,1,4,21.7266,9771,6
2,7,1,1,45.6296,11549,6
0,9,1,8,61.3272,14500,6
6,4,0,0,15.288,8817,6
0,9,1,9,48.5884,10778,6
3,6,1,4,19.1491,10541,6
4,5,1,9,35.0848,10800,6
6,3,1,0,53.0782,13494,6
3,6,1,1,27.813,9906,6
1,8,1,5,43.5733,10008,6
5,4,1,5,10.9935,6820,6
0,9,1,8,52.0414,11088,6
1,8,1,4,25.4921,5393,6
1,8,1,9,55.0655,13036,6
0,9,1,5,31.6986,14116,6
3,6,1,3,17.6837,13418,6
8,2,0,8,15.6967,11206,6
5,5,0,6,22.4959,14023,6
6,3,1,9,25.3504,7847,6
4,5,1,0,41.5014,5760,6
2,7,1,6,23.8993,11576,6
1,8,1,7,40.0881,8355,6
2,7,1,3,26.0086,8413,6
4,5,1,7,27.332,7915,7
5,4,1,2,52.7963,13683,7
2,7,1,4,32.3771,14008,7
0,9,1,1,39.0224,9558,7
4,5,1,8,44.0521,5833,7
3,6,1,1,54.8477,13333,7
1,8,1,0,32.0687,9746,7
3,6,1,7,34.0245,7634,7
1,8,1,6,57.4944,10421,7
10,0,0,7,10.9275,5713,7
3,6,1,0,42.1582,9126,7
1,8,1,5,38.1496,12204,7
2,7,1,5,33.215,5046,7
4,5,1,2,32.6296,6715,7
2,7,1,4,52.5303,9484,7
5,4,1,6,17.8636,11106,7
10,0,0,0,0.118497,8016,7
2,7,1,4,27.8463,6880,7
4,5,1,5,23.4595,8465,7
3,6,1,4,44.9275,7876,7
0,9,1,1,50.492,10755,7
5,4,1,1,17.0499,7835,7
5,4,1,6,41.7724,5891,7
3,6,1,8,49.1161,12706,7
3,6,1,1,23.5342,10962,7
4,5,1,8,55.157,4666,7
1,8,1,6,33.5221,13433,7
2,7,1,5,59.5602,13514,7
3,6,1,3,31.9636,10822,7
4,5,1,0,31.7659,12370,7
1,8,1,8,56.407,13368,7
1,8,1,3,50.3165,5529,7
4,5,1,3,44.7355,7776,7
6,3,1,4,41.5373,7940,7
6,3,1,0,40.8269,5513,7
2,7,1,8,27.2196,12580,7
5,4,1,4,35.545,5918,7
2,7,1,6,30.9587,5486,7
3,6,1,5,37.0143,10134,7
4,5,1,5,56.0989,9807,7
5,4,1,5,41.3091,5672,7
3,6,1,0,40.706,7617,7
0,9,1,4,37.6026,12248,7
4,5,1,4,50.415,7434,7
1,8,1,7,34.854,12744,7
4,5,1,9,38.8241,7074,7
2,7,1,5,21.3407,12881,7
1,8,1,8,28.7644,8701,7
3,6,1,4,16.3513,11520,7
1,8,1,2,32.9933,8265,7
3,6,1,2,43.2957,9304,7
4,5,1,3,59.6694,9008,7
7,2,1,5,44.7818,7172,7
9,1,0,6,16.0581,13386,7
3,6,1,1,18.5907,5518,7
3,6,1,3,40.2876,9080,7
2,7,1,3,36.1259,9935,7
3,6,1,8,61.1725,4897,7
4,5,1,8,52.5445,10633,7
8,1,1,6,17.5169,5038,7
5,4,1,3,31.6769,6351,7
4,5,1,2,23.1998,6702,7
3,6,1,5,42.7668,5070,7
3,6,1,1,28.2023,14285,7
4,5,1,4,26.6816,6493,7
5,4,1,8,34.7399,6791,7
3,6,1,6,70.2226,13200,7
3,6,1,2,49.3274,13014,7
6,3,1,7,37.6376,4592,7
3,6,1,4,31.5905,5914,7
4,5,1,3,30.7117,6990,7
9,1,0,7,7.89192,4578,7
3,6,1,1,47.2191,9326,7
1,8,1,5,51.2756,14290,7
3,6,1,7,58.4169,8785,7
4,5,1,1,28.9999,7196,7
5,5,0,8,20.5868,6139,7
3,6,1,4,21.7266,9757,7
2,7,1,1,45.6296,11554,7
0,9,1,8,61.3272,14497,7
4,6,0,0,15.288,8807,7
0,9,1,9,48.5884,10761,7
3,6,1,4,19.1491,10554,7
4,5,1,9,35.0848,10798,7
4,5,1,0,53.0782,13497,7
3,6,1,1,27.813,9909,7
1,8,1,5,43.5733,10027,7
6,3,1,5,10.9935,6808,7
0,9,1,8,52.0414,11070,7
0,9,1,4,25.4921,5393,7
3,6,1,9,55.0655,13051,7
0,9,1,5,31.6986,14131,7
3,6,1,3,17.6837,13418,7
8,2,0,8,15.6967,11219,7
5,5,0,6,22.4959,14020,7
5,4,1,9,25.3504,7859,7
5,4,1,0,41.5014,5756,7
2,7,1,6,23.8993,11592,7
1,8,1,7,40.0881,8321,7
2,7,1,3,26.0086,8409,7
3,6,1,7,27.332,7903,8
4,5,1,2,52.7963,13700,8
2,7,1,4,32.3771,13997,8
0,9,1,1,39.0224,9574,8
4,5,1,8,44.0521,5820,8
3,6,1,1,54.8477,13331,8
1,8,1,0,32.0687,9755,8
3,6,1,7,34.0245,7609,8
1,8,1,6,57.4944,10439,8
10,0,0,7,10.9275,5699,8
3,6,1,0,42.1582,9111,8
1,8,1,5,38.1496,12214,8
2,7,1,5,33.215,5040,8
4,5,1,2,32.6296,6708,8
2,7,1,4,52.5303,9474,8
6,3,1,6,17.8636,11099,8
10,0,0,0,0.118497,8034,8
2,7,1,4,27.8463,6859,8
4,5,1,5,23.4595,8468,8
3,6,1,4,44.9275,7873,8
1,8,1,1,50.492,10787,8
6,3,1,1,17.0499,7835,8
5,4,1,6,41.7724,5916,8
3,6,1,8,49.1161,12697,8
3,6,1,1,23.5342,10981,8
4,5,1,8,55.157,4672,8
1,8,1,6,33.5221,13448,8
2,7,1,5,59.5602,13506,8
3,6,1,3,31.9636,10804,8
4,5,1,0,31.7659,12359,8
1,8,1,8,56.407,13353,8
1,8,1,3,50.3165,5542,8
4,5,1,3,44.7355,7772,8
6,3,1,4,41.5373,7940,8
7,2,1,0,40.8269,5495,8
2,7,1,8,27.2196,12592,8
5,4,1,4,35.545,5914,8
2,7,1,6,30.9587,5528,8
5,4,1,5,37.0143,10151,8
4,5,1,5,56.0989,9825,8
4,5,1,5,41.3091,5683,8
3,6,1,0,40.706,7606,8
0,9,1,4,37.6026,12234,8
4,5,1,4,50.415,7419,8
1,8,1,7,34.854,12717,8
5,4,1,9,38.8241,7077,8
2,7,1,5,21.3407,12883,8
1,8,1,8,28.7644,8715,8
4,5,1,4,16.3513,11511,8
1,8,1,2,32.9933,8258,8
3,6,1,2,43.2957,9321,8
4,5,1,3,59.6694,8998,8
6,3,1,5,44.7818,7162,8
8,2,0,6,16.0581,13386,8
3,6,1,1,18.5907,5537,8
4,5,1,3,40.2876,9078,8
2,7,1,3,36.1259,9920,8
3,6,1,8,61.1725,4896,8
4,5,1,8,52.5445,10649,8
7,2,1,6,17.5169,5062,8
4,5,1,3,31.6769,6348,8
5,4,1,2,23.1998,6691,8
3,6,1,5,42.7668,5088,8
2,7,1,1,28.2023,14307,8
5,4,1,4,26.6816,6476,8
6,3,1,8,34.7399,6786,8
3,6,1,6,70.2226,13228,8
3,6,1,2,49.3274,13013,8
7,2,1,7,37.6376,4580,8
3,6,1,4,31.5905,5938,8
3,6,1,3,30.7117,6972,8
8,2,0,7,7.89192,4551,8
3,6,1,1,47.2191,9329,8
1,8,1,5,51.2756,14291,8
3,6,1,7,58.4169,8795,8
4,5,1,1,28.9999,7194,8
